Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
Arts,Arts;Licence AES;1;1.0;0
Arts,Arts;Licence Chimie;0;0.0;0
Arts,Arts;Licence Formation générale aux métiers de l'ingénieur;0;0.0;0
Arts,Arts;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Arts,Arts;Licence Sciences de gestion;0;0.0;0
Arts,Arts;Licence Sciences de l'information et de la communication;0;0.0;0
Arts,Arts;Licence Sciences de l'univers, de la terre, de l'espace;0;0.0;0
Arts,Arts;Licence Sciences juridiques;0;0.0;0
Arts,Arts;Licence Las;0;0.0;0
Arts,Arts;BUT Service;0;0.0;0
Arts,Arts;BTS production;0;0.0;0
Arts,Arts;CPGE ECG;0;0.0;0
Arts,Arts;Ensemble des candidats bacheliers;1;1.0;1
Arts,Humanités, Littérature et Philosophie;Licence Chimie;2;1.0;1
Arts,Humanités, Littérature et Philosophie;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Géographie;50;20.0;3
Arts,Humanités, Littérature et Philosophie;Licence LEA;190;127.0;25
Arts,Humanités, Littérature et Philosophie;Licence Langues et littératures françaises;913;789.0;207
Arts,Humanités, Littérature et Philosophie;Licence Mathématiques et informatique;1;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Pluri Sciences économiques - Gestion;30;11.0;0
Arts,Humanités, Littérature et Philosophie;Licence STAPS;77;35.0;16
Arts,Humanités, Littérature et Philosophie;Licence Sciences de la vie, biologie, santé;3;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Sciences et technologies industrielles;9;9.0;4
Arts,Humanités, Littérature et Philosophie;CPGE S;37;12.0;4
Arts,Humanités, Littérature et Philosophie;DEUST;59;27.0;15
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence AES;61;34.0;7
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence LEA;145;103.0;34
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Philosophie, Epistémologie;91;68.0;12
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences juridiques;542;393.0;217
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;BTS agricole;41;25.0;12
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;D.E social;29;6.0;6
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Sciences Po;155;10.0;10
Arts,Littératures, langues et culture de l'antiquité;Licence Chimie;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Histoire;7;6.0;3
Arts,Littératures, langues et culture de l'antiquité;Licence Informatique;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence LEA;3;3.0;3
Arts,Littératures, langues et culture de l'antiquité;Licence Langues et littératures françaises;4;3.0;1
Arts,Littératures, langues et culture de l'antiquité;Licence MASS;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Sciences du langage - Linguistique;2;2.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Sciences juridiques;1;1.0;0
Arts,Littératures, langues et culture de l'antiquité;BTS service;3;1.0;0
Arts,Littératures, langues et culture de l'antiquité;CPGE ECG;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;DEUST;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Chimie;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Génie civil;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Histoire;790;669.0;196
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Langues et littératures étrangères;2744;2340.0;956
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Mathématiques et informatique;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Physique et chimie;1;1.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Lettres - Langues - Sciences humaines;219;151.0;29
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Lettres - Sciences du langage - Arts;24;20.0;1
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de l'information et de la communication;390;194.0;64
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences juridiques;437;310.0;146
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences politiques;42;8.0;1
Arts,Langues, Littératures et Cultures Etrangères et Régionales;BUT Service;434;109.0;49
Arts,Mathématiques;Licence Histoire;245;218.0;56
Arts,Mathématiques;Licence LEA;78;65.0;20
Arts,Mathématiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;12;5.0;1
Arts,Mathématiques;Licence Pluri Sciences humaines et sociales;1;1.0;0
Arts,Mathématiques;Licence Sciences de gestion;20;13.0;3
Arts,Mathématiques;Licence Sciences de l'information et de la communication;63;33.0;4
Arts,Mathématiques;Licence Sciences du langage - Linguistique;18;13.0;1
Arts,Mathématiques;BTS service;332;140.0;56
Arts,Mathématiques;CPGE L;59;44.0;16
Arts,Mathématiques;Ecoles de Commerce;20;15.0;11
Arts,Mathématiques;D.E social;10;6.0;3
Arts,Mathématiques;Formations d'ART;637;281.0;161
Arts,Mathématiques;CUPGE;1;1.0;1
Arts,Mathématiques;Formations des écoles nationales vétérinaires;1;0.0;0
Arts,Mathématiques;Ensemble des candidats bacheliers;1516;1365.0;1043
Arts,Numérique et Sciences Informatiques;Licence AES;3;2.0;0
Arts,Numérique et Sciences Informatiques;Licence Archéologie, Ethno, Préhistoire, Anthropologie;0;0.0;0
Arts,Numérique et Sciences Informatiques;Licence MASS;4;2.0;1
Arts,Numérique et Sciences Informatiques;Licence Pluri Lettres - Sciences du langage - Arts;2;1.0;0
Arts,Numérique et Sciences Informatiques;Licence Pluri Sciences;1;0.0;0
Arts,Numérique et Sciences Informatiques;Licence Psychlogie, Sciences cognitives;15;6.0;2
Arts,Numérique et Sciences Informatiques;Licence Sciences du langage - Linguistique;5;5.0;0
Arts,Numérique et Sciences Informatiques;Licence Sciences économiques;4;0.0;0
Arts,Numérique et Sciences Informatiques;Licence Las;22;9.0;2
Arts,Numérique et Sciences Informatiques;BTS production;38;17.0;6
Arts,Numérique et Sciences Informatiques;BTS service;117;48.0;16
Arts,Numérique et Sciences Informatiques;CPGE S;10;2.0;0
Arts,Numérique et Sciences Informatiques;D.E social;1;0.0;0
Arts,Numérique et Sciences Informatiques;DEUST;3;2.0;1
Arts,Numérique et Sciences Informatiques;Ensemble des candidats bacheliers;367;296.0;218
Arts,Physique-Chimie;Licence AES;5;4.0;1
Arts,Physique-Chimie;Licence Arts;285;237.0;99
Arts,Physique-Chimie;Licence LEA;28;25.0;4
Arts,Physique-Chimie;Licence MASS;6;3.0;1
Arts,Physique-Chimie;Licence Pluri Lettres - Sciences du langage - Arts;2;1.0;0
Arts,Physique-Chimie;Licence Pluri Sciences économiques - Gestion;9;7.0;1
Arts,Physique-Chimie;Licence Sciences de gestion;1;1.0;0
Arts,Physique-Chimie;Licence Sciences économiques;3;2.0;0
Arts,Physique-Chimie;PASS;16;5.0;1
Arts,Physique-Chimie;BTS production;38;19.0;4
Arts,Physique-Chimie;CPGE L;22;19.0;7
Arts,Physique-Chimie;Autres formations;135;47.0;27
Arts,Physique-Chimie;CUPGE;3;1.0;0
Arts,Physique-Chimie;Formations des écoles nationales vétérinaires;1;0.0;0
Arts,Sciences économiques et sociales;Licence Formation générale aux métiers de l'ingénieur;1;0.0;0
Arts,Sciences économiques et sociales;Licence Génie civil;0;0.0;0
Arts,Sciences économiques et sociales;Licence Informatique;7;5.0;2
Arts,Sciences économiques et sociales;Licence Langues et littératures françaises;103;84.0;18
Arts,Sciences économiques et sociales;Licence Mathématiques et informatique;0;0.0;0
Arts,Sciences économiques et sociales;Licence Philosophie, Epistémologie;49;35.0;3
Arts,Sciences économiques et sociales;Licence Physique et chimie;0;0.0;0
Arts,Sciences économiques et sociales;Licence Pluri Sciences humaines et sociales;8;1.0;0
Arts,Sciences économiques et sociales;Licence Sciences et technologies industrielles;7;3.0;2
Arts,Sciences économiques et sociales;BTS production;102;34.0;13
Arts,Sciences économiques et sociales;Ecoles de Commerce;65;50.0;37
Arts,Sciences économiques et sociales;Autres formations;290;112.0;62
Arts,Sciences économiques et sociales;DCG;21;7.0;3
Arts,Sciences de la vie et de la terre;Licence Archéologie, Ethno, Préhistoire, Anthropologie;7;4.0;0
Arts,Sciences de la vie et de la terre;Licence Arts;340;284.0;119
Arts,Sciences de la vie et de la terre;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts,Sciences de la vie et de la terre;Licence Géographie;17;15.0;2
Arts,Sciences de la vie et de la terre;Licence Histoire;117;110.0;31
Arts,Sciences de la vie et de la terre;Licence LEA;41;32.0;7
Arts,Sciences de la vie et de la terre;Licence MASS;1;1.0;1
Arts,Sciences de la vie et de la terre;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Arts,Sciences de la vie et de la terre;Licence Philosophie, Epistémologie;14;12.0;1
Arts,Sciences de la vie et de la terre;Licence Pluri Lettres - Langues - Sciences humaines;7;6.0;1
Arts,Sciences de la vie et de la terre;Licence Sciences de la vie, biologie, santé;160;76.0;26
Arts,Sciences de la vie et de la terre;Licence Sciences religieuses;0;0.0;0
Arts,Sciences de la vie et de la terre;PASS;74;17.0;6
Arts,Sciences de la vie et de la terre;BUT Production;77;20.0;6
Arts,Sciences de la vie et de la terre;Ecoles de Commerce;5;4.0;3
Arts,Sciences de la vie et de la terre;D.E social;15;4.0;4
Arts,Sciences de la vie et de la terre;Ensemble des candidats bacheliers;816;733.0;569
Arts,Sciences de l'ingénieur;Licence Archéologie, Ethno, Préhistoire, Anthropologie;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Génie civil;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Physique et chimie;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Pluri Lettres - Langues - Sciences humaines;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Sciences de gestion;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Sciences de l'information et de la communication;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Sciences juridiques;1;0.0;0
Arts,Sciences de l'ingénieur;Licence Sciences politiques;0;0.0;0
Arts,Sciences de l'ingénieur;BUT Service;2;1.0;0
Arts,Sciences de l'ingénieur;BTS agricole;0;0.0;0
Arts,Sciences de l'ingénieur;Ecoles de Commerce;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence AES;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Chimie;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Pluri Sciences humaines et sociales;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Sciences et technologies industrielles;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Sciences juridiques;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Sciences politiques;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Sociologie, Démographie;1;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;CPGE S;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;D.E sanitaire;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Arts;1;1.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Philosophie, Epistémologie;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Sciences humaines et sociales;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences juridiques;4;2.0;2
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sociologie, Démographie;1;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;DCG;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Génie civil;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Physique;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Lettres - Sciences du langage - Arts;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences économiques - Gestion;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences politiques;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences religieuses;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Las;2;1.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;PASS;1;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;BUT Service;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;DEUST;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Sciences Po;0;0.0;0
Biologie-Ecologie,Mathématiques;Licence Langues et littératures étrangères;15;12.0;3
Biologie-Ecologie,Mathématiques;Licence Mathématiques;31;21.0;7
Biologie-Ecologie,Mathématiques;Licence Philosophie, Epistémologie;1;1.0;0
Biologie-Ecologie,Mathématiques;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Biologie-Ecologie,Mathématiques;Licence Pluri Lettres - Langues - Sciences humaines;1;1.0;0
Biologie-Ecologie,Mathématiques;Licence Pluri Sciences;3;3.0;1
Biologie-Ecologie,Mathématiques;Licence Sciences de l'information et de la communication;6;3.0;1
Biologie-Ecologie,Mathématiques;Licence Sciences de l'univers, de la terre, de l'espace;20;12.0;1
Biologie-Ecologie,Mathématiques;Licence Sciences du langage - Linguistique;4;4.0;0
Biologie-Ecologie,Mathématiques;BUT Service;52;16.0;8
Biologie-Ecologie,Mathématiques;BTS agricole;128;110.0;53
Biologie-Ecologie,Mathématiques;BTS service;95;46.0;11
Biologie-Ecologie,Mathématiques;Sciences Po;2;0.0;0
Biologie-Ecologie,Mathématiques;Ensemble des candidats bacheliers;379;365.0;313
Biologie-Ecologie,Physique-Chimie;Licence Langues et littératures étrangères;37;27.0;7
Biologie-Ecologie,Physique-Chimie;Licence Mécanique, Génie mécanique, Ingénierie mécanique;3;2.0;0
Biologie-Ecologie,Physique-Chimie;Licence Pluri Langues;0;0.0;0
Biologie-Ecologie,Physique-Chimie;Licence Pluri Sciences;20;12.0;1
Biologie-Ecologie,Physique-Chimie;Licence Pluri Sciences économiques - Gestion;15;8.0;4
Biologie-Ecologie,Physique-Chimie;Licence Sciences juridiques;74;64.0;24
Biologie-Ecologie,Physique-Chimie;Licence Las;454;198.0;57
Biologie-Ecologie,Physique-Chimie;BUT Production;511;276.0;122
Biologie-Ecologie,Physique-Chimie;CPGE S;208;82.0;48
Biologie-Ecologie,Physique-Chimie;Ecoles d'Ingénieurs;136;98.0;70
Biologie-Ecologie,Physique-Chimie;Formations des écoles nationales vétérinaires;142;7.0;7
Biologie-Ecologie,Sciences économiques et sociales;Licence AES;1;1.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Electronique, Génie électrique, EEA;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Histoire;2;2.0;2
Biologie-Ecologie,Sciences économiques et sociales;Licence Langues et littératures étrangères;1;1.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Pluri Sciences économiques - Gestion;1;1.0;1
Biologie-Ecologie,Sciences économiques et sociales;Licence Sciences de l'univers, de la terre, de l'espace;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Sciences du langage - Linguistique;1;1.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Las;4;1.0;1
Biologie-Ecologie,Sciences économiques et sociales;BUT Production;1;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Ecoles de Commerce;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Ensemble des candidats bacheliers;13;12.0;9
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Archéologie, Ethno, Préhistoire, Anthropologie;4;3.0;1
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Arts;33;26.0;10
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Génie civil;0;0.0;0
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Langues et littératures étrangères;59;52.0;19
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;0;0.0;0
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences humaines et sociales;0;0.0;0
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;BTS service;37;24.0;7
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Formations d'ART;7;3.0;3
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;DEUST;4;0.0;0
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Sciences Po;1;1.0;1
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence AES;232;123.0;35
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Chimie;4;2.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Génie civil;1;1.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Informatique;8;6.0;1
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence MASS;5;2.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Mathématiques;8;3.0;1
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Philosophie, Epistémologie;1021;839.0;176
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences;27;16.0;4
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;14;4.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences humaines et sociales;22;10.0;1
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Psychlogie, Sciences cognitives;2434;1486.0;793
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences et technologies industrielles;29;21.0;10
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences juridiques;1782;1454.0;832
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences politiques;178;45.0;18
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences économiques;26;4.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sociologie, Démographie;742;595.0;112
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;BTS agricole;50;25.0;11
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;CPGE L;1300;990.0;589
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Ensemble des candidats bacheliers;9299;8931.0;7947
Humanités, Littérature et Philosophie,Mathématiques;Licence AES;40;27.0;11
Humanités, Littérature et Philosophie,Mathématiques;Licence Physique;4;2.0;2
Humanités, Littérature et Philosophie,Mathématiques;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Humanités, Littérature et Philosophie,Mathématiques;Licence Pluri Lettres - Sciences du langage - Arts;46;38.0;5
Humanités, Littérature et Philosophie,Mathématiques;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Humanités, Littérature et Philosophie,Mathématiques;Licence Pluri Sciences humaines et sociales;3;1.0;0
Humanités, Littérature et Philosophie,Mathématiques;Licence Sciences de l'univers, de la terre, de l'espace;0;0.0;0
Humanités, Littérature et Philosophie,Mathématiques;Licence Sciences de la vie, biologie, santé;10;7.0;2
Humanités, Littérature et Philosophie,Mathématiques;Licence Sciences politiques;42;12.0;5
Humanités, Littérature et Philosophie,Mathématiques;Licence Las;141;57.0;17
Humanités, Littérature et Philosophie,Mathématiques;BUT Service;122;44.0;18
Humanités, Littérature et Philosophie,Mathématiques;CPGE S;29;8.0;2
Humanités, Littérature et Philosophie,Mathématiques;D.E social;4;1.0;1
Humanités, Littérature et Philosophie,Mathématiques;Autres formations;157;58.0;27
Humanités, Littérature et Philosophie,Mathématiques;Ensemble des candidats bacheliers;973;931.0;849
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Langues et littératures françaises;20;19.0;8
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence MASS;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Philosophie, Epistémologie;10;9.0;2
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Physique et chimie;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Pluri Lettres - Langues - Sciences humaines;5;3.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Sciences et technologies industrielles;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Sociologie, Démographie;9;7.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Las;9;2.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;BUT Service;11;3.0;3
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Formations d'ART;17;6.0;5
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;CUPGE;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;DCG;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Sciences Po;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Formations des écoles nationales vétérinaires;0;0.0;0
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Langues et littératures étrangères;25;23.0;5
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Pluri Lettres - Sciences du langage - Arts;9;8.0;2
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Psychlogie, Sciences cognitives;47;37.0;18
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Sciences de l'éducation;23;10.0;3
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Sciences de la vie, biologie, santé;5;2.0;0
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Sciences religieuses;0;0.0;0
Humanités, Littérature et Philosophie,Physique-Chimie;BUT Production;15;7.0;3
Humanités, Littérature et Philosophie,Physique-Chimie;Formations des écoles nationales vétérinaires;0;0.0;0
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Archéologie, Ethno, Préhistoire, Anthropologie;119;56.0;9
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Formation générale aux métiers de l'ingénieur;2;1.0;0
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Histoire;533;442.0;103
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Langues et littératures étrangères;500;413.0;105
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Mathématiques;11;2.0;0
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Philosophie, Epistémologie;710;557.0;92
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;14;2.0;0
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Sciences de la vie, biologie, santé;27;7.0;0
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Sociologie, Démographie;1583;1316.0;304
Humanités, Littérature et Philosophie,Sciences économiques et sociales;BUT Service;1584;472.0;206
Humanités, Littérature et Philosophie,Sciences économiques et sociales;BTS agricole;52;33.0;14
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Ecoles de Commerce;152;121.0;89
Humanités, Littérature et Philosophie,Sciences économiques et sociales;D.E social;211;95.0;82
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Autres formations;313;121.0;47
Humanités, Littérature et Philosophie,Sciences économiques et sociales;DEUST;72;22.0;7
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence AES;67;41.0;10
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Arts;170;117.0;42
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Chimie;24;11.0;4
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Génie civil;1;0.0;0
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Langues et littératures françaises;381;351.0;79
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Mathématiques et informatique;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Pluri Droit - Sciences éco - AES;1;0.0;0
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Pluri Lettres - Sciences du langage - Arts;56;44.0;4
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;125;46.0;18
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Sciences du langage - Linguistique;172;160.0;45
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Sciences religieuses;1;1.0;0
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;CPGE L;165;125.0;72
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Formations des écoles nationales vétérinaires;7;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Archéologie, Ethno, Préhistoire, Anthropologie;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence MASS;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Mathématiques;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Pluri Sciences;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Pluri Sciences fondamentales et applications;0;0.0;0
